title,journal,pubmed_id,gseID
Quiescence Modulates Stem Cell Maintenance And Regenerative Capacity In The Aging Brain,Cell,30827680,GSE115626_GSE115622_GSE115600
Lineage Tracing In Humans Enabled By Mitochondrial Mutations And Single-Cell Genomics,Cell,30827679,GSE122583_GSE122582_GSE118203_GSE118202_GSE115218_GSE115217_GSE115216_GSE115215_GSE115214_GSE115213_GSE115212_GSE115211_GSE115210_GSE115209_GSE115208
Adult Neural Stem Cells And Multiciliated Ependymal Cells Share A Common Lineage Regulated By The Geminin Family Members,Neuron,30824354,notAvailable
An Atlas Of The Aging Lung Mapped By Single Cell Transcriptomics And Deep Tissue Proteomics,Nature communications,30814501,GSE124872
Genome-Wide Stability Of The Dna Replication Program In Single Mammalian Cells,Nature genetics,30804559,GSE108556
Unique Contributions Of Parvalbumin And Cholinergic Interneurons In Organizing Striatal Networks During Movement,Nature neuroscience,30804530,notAvailable
Hesc-Derived Thalamic Organoids Form Reciprocal Projections When Fused With Cortical Organoids,Cell stem cell,30799279,GSE122342
Counting Growth Factors In Single Cells With Infrared Quantum Dots To Measure Discrete Stimulation Distributions,Nature communications,30796217,notAvailable
The Single-Cell Transcriptional Landscape Of Mammalian Organogenesis,Nature,30787437,GSE119945
A Single-Cell Molecular Map Of Mouse Gastrulation And Early Organogenesis,Nature,30787436,GSE087038
Human Foxp,Immunity,30784578,notAvailable
Publisher Correction: Noninvasive Monitoring Of Single-Cell Mechanics By Acoustic Scattering,Nature methods,30783263,notAvailable
Eliciting The Impacts Of Cellular Noise On Metabolic Trade-Offs By Quantitative Mass Imaging,Nature communications,30783105,notAvailable
Multiplex Chromatin Interactions With Single-Molecule Precision,Nature,30778195,GSE109355
Resolving Cell Fate Decisions During Somatic Cell Reprogramming By Single-Cell Rna-Seq,Molecular cell,30772174,GSE103221
Unravelling Intratumoral Heterogeneity Through High-Sensitivity Single-Cell Mutational Analysis And Parallel Rna Sequencing,Molecular cell,30765193,GSE122198_GSE105454_GSE105452_GSE105451
Altered Human Oligodendrocyte Heterogeneity In Multiple Sclerosis,Nature,30747918,GSE118257
Defining Host-Pathogen Interactions Employing An Artificial Intelligence Workflow,eLife,30744806,notAvailable
Fast Interpolation-Based T-Sne For Improved Visualization Of Single-Cell Rna-Seq Data,Nature methods,30742040,notAvailable
Single-Cell Transcriptomics Of Regulatory T Cells Reveals Trajectories Of Tissue Adaptation,Immunity,30737144,notAvailable
Human Spermatogonial Stem Cells Scrutinized Under The Single-Cell Magnifying Glass,Cell stem cell,30735645,notAvailable
Specification Of Diverse Cell Types During Early Neurogenesis Of The Mouse Cerebellum,eLife,30735127,GSE120372
Neutrophils Escort Circulating Tumour Cells To Enable Cell Cycle Progression,Nature,30728496,GSE109761
Single-Cell Rna Sequencing Reveals Midbrain Dopamine Neuron Diversity Emerging During Mouse Brain Development,Nature communications,30718509,GSE116138
Molecular Classification And Comparative Taxonomics Of Foveal And Peripheral Cells In Primate Retina,Cell,30712875,GSE118852_GSE118546_GSE118480
Optimal-Transport Analysis Of Single-Cell Gene Expression Identifies Developmental Trajectories In Reprogramming,Cell,30712874,GSE122662_GSE122653_GSE115943_GSE106340
Identification Of Enteroendocrine Regulators By Real-Time Single-Cell Differentiation Mapping,Cell,30712869,notAvailable
Activity Correlations Between Direction-Selective Retinal Ganglion Cells Synergistically Enhance Motion Decoding From Complex Visual Scenes,Neuron,30709656,notAvailable
Tissue Curvature And Apicobasal Mechanical Tension Imbalance Instruct Cancer Morphogenesis,Nature,30700911,notAvailable
Pluripotency And X Chromosome Dynamics Revealed In Pig Pre-Gastrulating Embryos By Single Cell Analysis,Nature communications,30700715,GSE112380
Deconvolution Of Single-Cell Multi-Omics Layers Reveals Regulatory Heterogeneity,Nature communications,30692544,notAvailable
Pd-1/Pd-L1 Checkpoint Blockade Harnesses Monocyte-Derived Macrophages To Combat Cognitive Impairment In A Tauopathy Mouse Model,Nature communications,30692527,GSE130008
Motor Context Dominates Output From Purkinje Cell Functional Regions During Reflexive Visuomotor Behaviours,eLife,30681408,notAvailable
High-Throughput Single-Cell Rheology In Complex Samples By Dynamic Real-Time Deformability Cytometry,Nature communications,30679420,notAvailable
Single-Cell Profiling Identifies Myeloid Cell Subsets With Distinct Fates During Neuroinflammation,"Science (New York, N.Y.)",30679343,GSE118948
Conventional Dcs Sample And Present Myelin Antigens In The Healthy Cns And Allow Parenchymal T Cell Entry To Initiate Neuroinflammation,Science immunology,30679199,notAvailable
Bulk Tissue Cell Type Deconvolution With Multi-Subject Single-Cell Expression Reference,Nature communications,30670690,notAvailable
A Discriminative Learning Approach To Differential Expression Analysis For Single-Cell Rna-Seq,Nature methods,30664774,notAvailable
"Label-Free Spatio-Temporal Monitoring Of Cytosolic Mass, Osmolarity, And Volume In Living Cells",Nature communications,30664642,notAvailable
Oligodendrocyte Progenitor Cells Become Regionally Diverse And Heterogeneous With Age,Neuron,30654924,GSE121083
Interacting Neural Ensembles In Orbitofrontal Cortex For Social And Feeding Behaviour,Nature,30651638,notAvailable
Demystifying Microglia: And Now The Work Begins,Immunity,30650371,notAvailable
Reference-Based Analysis Of Lung Single-Cell Sequencing Reveals A Transitional Profibrotic Macrophage,Nature immunology,30643263,GSE114005_GSE111690_GSE111664
Combined Single-Cell Profiling Of Lncrnas And Functional Screening Reveals That H19 Is Pivotal For Embryonic Hematopoietic Stem Cell Development,Cell stem cell,30639035,notAvailable
A Simple And Flexible Computational Framework For Inferring Sources Of Heterogeneity From Single-Cell Dynamics,Cell systems,30638813,notAvailable
Continuum Of Gene-Expression Profiles Provides Spatial Division Of Labor Within A Differentiated Cell Type,Cell systems,30638811,notAvailable
Differential Nova2-Mediated Splicing In Excitatory And Inhibitory Neurons Regulates Cortical Development And Cerebellar Function,Neuron,30638744,GSE103316_GSE103315_GSE103314
The Emergence And Functional Fitness Of Memory Cd,Immunity,30638736,GSE121002_GSE116519_GSE116506
Single Cell Functional Genomics Reveals The Importance Of Mitochondria In Cell-To-Cell Phenotypic Variation,eLife,30638445,GSE104343
Single-Cell Transcriptomic Analysis Of Mouse Neocortical Development,Nature communications,30635555,GSE123335
Circulating Tumor Cell Clustering Shapes Dna Methylation To Enable Metastasis Seeding,Cell,30633912,GSE111065
Nan,eLife,30628888,GSE113937
Single-Cell Microrna-Mrna Co-Sequencing Reveals Non-Genetic Heterogeneity And Mechanisms Of Microrna Regulation,Nature communications,30626865,GSE114071
Developmental Heterogeneity Of Microglia And Brain Myeloid Cells Revealed By Deep Single-Cell Rna Sequencing,Neuron,30606613,GSE123030_GSE123025_GSE123024_GSE123022_GSE123021
Single Cell Rna Analysis Identifies Cellular Heterogeneity And Adaptive Responses Of The Lung At Birth,Nature communications,30604742,GSE122332_GSE122331_GSE122330_GSE122329
Genomic Encoding Of Transcriptional Burst Kinetics,Nature,30602787,notAvailable
Haematopoiesis In The Era Of Advanced Single-Cell Technologies,Nature cell biology,30602765,notAvailable
Evaluation Of Wu Et Al.: Comprehending Global And Local Structure Of Single-Cell Datasets,Cell systems,30590028,notAvailable
"Trans-Ethnic Association Study Of Blood Pressure Determinants In Over 750,000 Individuals",Nature genetics,30578418,notAvailable
Molecular And Functional Heterogeneity Of Il-10-Producing Cd,Nature communications,30575716,GSE121393_GSE121386_GSE121287_GSE121284_GSE121267
Single-Cell Proteomics,Nature methods,30573843,notAvailable
A Test Metric For Assessing Single-Cell Rna-Seq Batch Correction,Nature methods,30573817,notAvailable
Evaluation Of Variability In Human Kidney Organoids,Nature methods,30573816,GSE114802_GSE107305_GSE099582_GSE099469_GSE099468_GSE089044_GSE088942
Metabolic Heterogeneity Underlies Reciprocal Fates Of,Nature,30568299,GSE121599_GSE121598_GSE121597_GSE107521
Hidden Heterogeneity And Circadian-Controlled Cell Fate Inferred From Single Cell Lineages,Nature communications,30560953,notAvailable
Heterogeneous Absorption Of Antimicrobial Peptide Ll37 In,eLife,30560784,notAvailable
Simultaneous Multiplexed Amplicon Sequencing And Transcriptome Profiling In Single Cells,Nature methods,30559431,GSE113675
"U-Net: Deep Learning For Cell Counting, Detection, And Morphometry",Nature methods,30559429,notAvailable
Transcriptional Burst Initiation And Polymerase Pause Release Are Key Control Points Of Transcriptional Regulation,Molecular cell,30554946,GSE121706
Organoid Modeling Of The Tumor Immune Microenvironment,Cell,30550791,GSE111360
Tuning Of Delta-Protocadherin Adhesion Through Combinatorial Diversity,eLife,30547884,notAvailable
High-Affinity Allergen-Specific Human Antibodies Cloned From Single Ige B Cell Transcriptomes,"Science (New York, N.Y.)",30545888,notAvailable
Comprehensive Functional Genomic Resource And Integrative Model For The Human Brain,"Science (New York, N.Y.)",30545857,notAvailable
Spatiotemporal Transcriptomic Divergence Across Human And Macaque Brain Development,"Science (New York, N.Y.)",30545855,notAvailable
Self-Renewing Resident Cardiac Macrophages Limit Adverse Remodeling Following Myocardial Infarction,Nature immunology,30538339,GSE119355
Visualizing And Interpreting Single-Cell Gene Expression Datasets With Similarity Weighted Nonnegative Embedding,Cell systems,30528274,notAvailable
Human Intestinal Organoids Maintain Self-Renewal Capacity And Cellular Diversity In Niche-Inspired Culture Condition,Cell stem cell,30526881,GSE119969_GSE119430
Single-Cell Mapping Of Lineage And Identity In Direct Reprogramming,Nature,30518857,GSE099915
Bayesian Deep Learning For Single-Cell Analysis,Nature methods,30504887,notAvailable
Deep Generative Modeling For Single-Cell Transcriptomics,Nature methods,30504886,notAvailable
Single-Cell Sequencing Of Ipsc-Dopamine Neurons Reconstructs Disease Progression And Identifies Hdac4 As A Regulator Of Parkinson Cell Phenotypes,Cell stem cell,30503143,notAvailable
Single-Cell Mutation Identification Via Phylogenetic Inference,Nature communications,30514897,notAvailable
Transcriptomic Landscape Of The Blastema Niche In Regenerating Adult Axolotl Limbs At Single-Cell Resolution,Nature communications,30514844,GSE121737
Neural Stem Cells Behave As A Functional Niche For The Maturation Of Newborn Neurons Through The Secretion Of Ptn,Neuron,30497772,notAvailable
A Deep Dive Into Immunotherapy Resistance,Cancer discovery,30487234,notAvailable
A Population Of Navigator Neurons Is Essential For Olfactory Map Formation During The Critical Period,Neuron,30482691,GSE120199
Macrophage-Derived Netrin-1 Promotes Abdominal Aortic Aneurysm Formation By Activating Mmp3 In Vascular Smooth Muscle Cells,Nature communications,30479344,GSE118237_GSE118217
Comparative Analysis Of Droplet-Based Ultra-High-Throughput Single-Cell Rna-Seq Systems,Molecular cell,30472192,GSE111912
Atp-Dependent Dynamic Protein Aggregation Regulates Bacterial Dormancy Depth Critical For Antibiotic Tolerance,Molecular cell,30472191,notAvailable
"Quantitative Clonal Analysis And Single-Cell Transcriptomics Reveal Division Kinetics, Hierarchy, And Fate Of Oral Epithelial Progenitor Cells",Cell stem cell,30472156,GSE120654
Using Single Nucleotide Variations In Single-Cell Rna-Seq To Identify Subpopulations And Genotype-Phenotype Linkage,Nature communications,30459309,notAvailable
Regulation Of Cell-Type-Specific Transcriptomes By Microrna Networks During Human Brain Development,Nature neuroscience,30455455,GSE107468_GSE107467_GSE107466
Invasive Salmonella Exploits Divergent Immune Evasion Strategies In Infected And Bystander Dendritic Cell Subsets,Nature communications,30451854,GSE111546_GSE111545_GSE111543
Comparative Analysis And Refinement Of Human Psc-Derived Kidney Organoid Differentiation With Single-Cell Transcriptomics,Cell stem cell,30449713,GSE118184
Impact Of Genetic Polymorphisms On Human Immune Cell Gene Expression,Cell,30449622,notAvailable
Genome-Wide Crispr Screens In Primary Human T Cells Reveal Key Regulators Of Immune Function,Cell,30449619,GSE119450
Mapping Cellular Reprogramming Via Pooled Overexpression Screens With Paired Fitness And Single-Cell Rna-Sequencing Readout,Cell systems,30448000,GSE107185
Single-Cell Transcriptional Analysis Reveals Ilc-Like Cells In Zebrafish,Science immunology,30446505,notAvailable
